 ,Openbaar/Algemeen Bijzonder ( %),Rooms-Katholiek ( %),Gereformeerd/Reformatorisch ( %),Protestants-Christelijk ( %),Islamitisch ( %)
Appingedam,50,0,0,50,0
Bedum,"16,7","16,7","16,7",50,0
Bellingwedde,"71,4",0,0,"28,6",0
Ten Boer,"42,9",0,"14,3","42,9",0
Delfzijl,"57,9","5,3","5,3","31,6",0
Groningen (gemeente),"54,1","5,4","10,8",27,0
Grootegast,"36,4",0,"9,1","54,5",0
Haren,"62,5","12,5","12,5","12,5",0
Hoogezand-Sappemeer,"64,7","11,8","5,9","17,6",0
Leek,50,0,10,40,0
Loppersum,"55,6",0,"11,1","33,3",0
Marum,"42,9",0,0,"57,1",0
Almere,"58,7","14,7","1,3","14,7","1,3"
Stadskanaal,30,15,5,50,0
Slochteren,"66,7",0,"16,7","16,7",0
Veendam,70,10,0,20,0
Vlagtwedde,"58,3","16,7",0,25,0
Zeewolde,"36,4","18,2","9,1","27,3",0
Winsum,"54,5",0,"9,1","36,4",0
Zuidhorn,"18,2",0,"18,2","63,6",0
Dongeradeel,"13,6","4,5","4,5","77,3",0
Achtkarspelen,"31,6",0,"10,5","57,9",0
Ameland,50,25,0,25,0
het Bildt,50,0,0,50,0
Franekeradeel,"38,5","7,7",0,"53,8",0
Harlingen,"42,9","14,3","14,3","28,6",0
Heerenveen,"56,7","3,3","3,3","36,7",0
Kollumerland en Nieuwkruisland,"11,1",0,0,"88,9",0
Leeuwarden,"51,3","15,4","2,6","28,2",0
Leeuwarderadeel,60,0,0,40,0
Ooststellingwerf,"62,5",0,0,"37,5",0
Opsterland,"60,9",0,"4,3","34,8",0
Schiermonnikoog,0,0,0,0,0
Smallingerland,40,8,8,44,0
Terschelling,60,0,0,40,0
Vlieland,100,0,0,0,0
Weststellingwerf,"76,2","14,3",0,"9,5",0
Assen,44,8,12,32,0
Coevorden,"55,6","11,1",0,"33,3",0
Emmen,"47,5",22,"1,7","25,4",0
Hoogeveen,"40,6","3,1","6,3",50,0
Meppel,"35,7","7,1","7,1","42,9",0
Littenseradiel,"52,9","5,9",0,"35,3",0
Almelo,40,24,4,28,0
Borne,20,70,0,10,0
Dalfsen,"22,2","16,7","11,1",50,0
Deventer,"52,8","19,4",0,"13,9","2,8"
Enschede,"48,1","29,6","3,7",13,"1,9"
Haaksbergen,"21,4","71,4",0,"7,1",0
Hardenberg,"34,2","5,3","13,2","47,4",0
Hellendoorn,"15,8","26,3",0,"57,9",0
Hengelo (O.),"30,4","47,8","4,3",13,"4,3"
Kampen,"16,7",10,10,"63,3",0
Losser,25,"58,3",0,"16,7",0
Noordoostpolder,"32,4","20,6","5,9","35,3",0
Oldenzaal,20,70,0,0,0
Ommen,"26,7","13,3","6,7","53,3",0
Raalte,"17,6","64,7",0,"17,6",0
Staphorst,20,0,60,20,0
Tubbergen,10,80,0,10,0
Urk,0,0,"41,7","58,3",0
Wierden,"14,3","21,4",0,"64,3",0
Zwolle,"44,2",14,7,"30,2","2,3"
Rijnwaarden,20,80,0,0,0
Aalten,"13,3",20,0,"66,7",0
Apeldoorn,"36,4","15,2","4,5","42,4",0
Arnhem,"40,8","28,6",2,"12,2",2
Barneveld,"13,8","3,4","17,2","65,5",0
Beuningen,"33,3","55,6",0,"11,1",0
Brummen,"58,3","16,7",0,25,0
Buren,75,0,"6,3","18,8",0
Culemborg,50,25,0,25,0
Doesburg,100,0,0,0,0
Doetinchem,"42,9","28,6","4,8",19,0
Druten,"16,7","83,3",0,0,0
Duiven,"33,3","44,4",0,"22,2",0
Ede,"23,5","9,8","15,7","45,1","3,9"
Elburg,"21,4","14,3","21,4","42,9",0
Epe,45,15,5,35,0
Ermelo,"16,7","8,3","16,7","58,3",0
Geldermalsen,"57,1","7,1","7,1","28,6",0
Harderwijk,"15,8","10,5","5,3","57,9","5,3"
Hattem,"33,3","16,7","16,7","33,3",0
Heerde,"36,4",0,"9,1","54,5",0
Heumen,"28,6","71,4",0,0,0
Lochem,"64,7","11,8",0,"23,5",0
Maasdriel,"36,4","45,5",0,"18,2",0
Nijkerk,"11,1","11,1","11,1","66,7",0
Nijmegen,"27,9","60,5",0,7,"2,3"
Oldebroek,"15,4","7,7","15,4","61,5",0
Putten,"14,3","7,1","14,3","64,3",0
Renkum,25,"16,7",0,"33,3",0
Rheden,55,20,0,25,0
Rozendaal,100,0,0,0,0
Scherpenzeel,25,0,25,50,0
Tiel,"26,7",40,0,"26,7",0
Voorst,"31,3","31,3","6,3","31,3",0
Wageningen,50,"16,7",0,25,0
Westervoort,40,40,0,20,0
Winterswijk,"56,3","12,5",0,25,0
Wijchen,"28,6","71,4",0,0,0
Zaltbommel,"31,3","6,3","12,5",50,0
Zevenaar,25,"58,3",0,"16,7",0
Zutphen,"44,4","22,2","5,6","16,7",0
Nunspeet,"15,4","7,7","30,8","46,2",0
