PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM;DIA_AANTAL;DIA_GEM;AMN_AANTAL;AMN_GEM
20190417;20190725;00AP;00;Wereldwijs;2716PH;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;11;0;11;538,636363636364;0; ;0; ;0; ;0; 
20190417;20190725;00AR;00;"BS ""De Maasparel""";6107AW;STEVENSWEERT;1641;Maasgouw;Limburg;Bo;Rooms-Katholiek;41797;17;0;17;537,588235294118;0; ;0; ;0; ;0; 
20190417;20190725;00AV;00;De Morgenster;3201CN;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;12;0;12;532,5;0; ;0; ;0; ;0; 
20190417;20190725;00AZ;00;De Stapsteen;2971AR;BLESKENSGRAAF CA;1927;Molenwaard;Zuid-Holland;Bo;Openbaar;41638;14;0;0; ;14;84,3571428571429;0; ;0; ;0; 
20190417;20190725;00BA;00;OBS De Klimboom;6666EB;HETEREN;1734;Overbetuwe;Gelderland;Bo;Openbaar;41530;15;0;0; ;16;83,625;0; ;0; ;0; 
20190417;20190725;00BB;00;Obs Letterwies;9944AR;NIEUWOLDA;1895;Oldambt;Groningen;Bo;Openbaar;41613;11;0;12;522,25;0; ;0; ;0; ;0; 
20190417;20190725;00BS;00;Geref Basisschool;7711KP;NIEUWLEUSEN; 148;Dalfsen;Overijssel;Bo;Gereformeerd vrijgemaakt;41632;15;0;15;539,8;0; ;0; ;0; ;0; 
20190417;20190725;00BW;00;Jenaplanschool De Vlieger;6131KJ;SITTARD;1883;Sittard-Geleen;Limburg;Bo;Algemeen bijzonder;41516;7;0;0; ;7;76,1428571428571;0; ;0; ;0; 
20190417;20190725;00BZ;00;Geref SBO Het Speelwerk;8031HL;ZWOLLE; 193;Zwolle;Overijssel;Sbo;Gereformeerd vrijgemaakt;41632;12;0;0; ;0; ;0; ;0; ;0; 
20190417;20190725;00CD;00;Basisschool Lockaert;5345JG;OSS; 828;Oss;Noord-Brabant;Bo;Algemeen bijzonder;41228;18;0;0; ;0; ;18;213;0; ;0; 
20190417;20190725;00CG;00;De Harlekijn;6372AC;LANDGRAAF; 882;Landgraaf;Limburg;Bo;Openbaar;41516;44;1;0; ;0; ;43;200,790697674419;0; ;0; 
20190417;20190725;00CS;00;De Leilinde;9671JA;WINSCHOTEN;1895;Oldambt;Groningen;Bo;Gereformeerd vrijgemaakt;41025;11;1;0; ;0; ;0; ;10;359,3;0; 
20190417;20190725;00CU;00;Basisschool Zilverlinde;4707HS;ROOSENDAAL;1674;Roosendaal;Noord-Brabant;Bo;Antroposofisch;41246;9;0;0; ;9;84,6666666666667;0; ;0; ;0; 
20190417;20190725;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;  98;Weststellingwerf;Friesland;Bo;Algemeen bijzonder;20210;4;0;0; ;0; ;4; ;0; ;0; 
20190417;20190725;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;  86;Opsterland;Friesland;Bo;Protestants-Christelijk;30051;12;0;0; ;0; ;12;183;0; ;0; 
20190417;20190725;00DD;00;Basissch Het Startnest;1422LE;UITHOORN; 451;Uithoorn;Noord-Holland;Bo;Rooms-Katholiek;30090;35;0;0; ;0; ;35;202,371428571429;0; ;0; 
20190417;20190725;00DM;00;De Bolderik;5473PG;HEESWIJK-DINTHER;1721;Bernheze;Noord-Brabant;Bo;Openbaar;75388;21;0;21;536,857142857143;0; ;0; ;0; ;0; 
20190417;20190725;00DN;00;De Bundeling;6241BB;BUNDE; 938;Meerssen;Limburg;Bo;Openbaar;42669;13;0;0; ;0; ;13;209,538461538462;0; ;0; 
20190417;20190725;00DO;00;Van Rijckevorsel;3151CJ;HOEK VAN HOLLAND; 599;Rotterdam;Zuid-Holland;Bo;Openbaar;41775;10;0;0; ;10;76,9;0; ;0; ;0; 
20190417;20190725;00DW;00;De Trompetter;6986AT;ANGERLO; 299;Zevenaar;Gelderland;Bo;Rooms-Katholiek;77235;18;0;0; ;0; ;0; ;0; ;18;416,5
20190417;20190725;00DX;00;Vrije School Assen;9404KK;ASSEN; 106;Assen;Drenthe;Bo;Antroposofisch;77456;24;1;0; ;23;84,9565217391304;0; ;0; ;0; 
20190417;20190725;00DY;00;Basisschool het Sterrenlicht;8084GK;'T HARDE; 230;Elburg;Gelderland;Bo;Gereformeerd vrijgemaakt;41632;11;0;11;536,636363636364;0; ;0; ;0; ;0; 
20190417;20190725;00DZ;00;Agnieten-School;8081NB;ELBURG; 230;Elburg;Gelderland;Bo;Rooms-Katholiek;40950;31;0;0; ;31;84,3225806451613;0; ;0; ;0; 
20190417;20190725;00EB;00;Bs Het Telraam;5441AK;OEFFELT; 756;Boxmeer;Noord-Brabant;Bo;Rooms-Katholiek;48348;22;0;22;540,5;0; ;0; ;0; ;0; 
20190417;20190725;00EH;00;Geref SSBO De Cirkel;2907TK;CAPELLE AAN DEN IJSSEL; 502;Capelle aan den IJssel;Zuid-Holland;Sbo;Gereformeerd vrijgemaakt;41646;14;0;0; ;0; ;14;161,928571428571;0; ;0; 
20190417;20190725;00EI;00;Reform Basisschool;3286BC;KLAASWAAL; 611;Cromstrijen;Zuid-Holland;Bo;Reformatorisch;30133;22;3;19;532,368421052632;0; ;0; ;0; ;0; 
20190417;20190725;00EM;00;SSBO De Wijngaard;2992KK;BARENDRECHT; 489;Barendrecht;Zuid-Holland;Sbo;Reformatorisch;30185;34;0;0; ;0; ;0; ;0; ;0; 
20190417;20190725;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK; 874;Woudrichem;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;5;0;5;534,6;0; ;0; ;0; ;0; 
20190417;20190725;00FG;00;BS De Triangel;7557KJ;HENGELO OV; 164;Hengelo;Overijssel;Bo;Gereformeerd vrijgemaakt;41624;14;0;14;538,214285714286;0; ;0; ;0; ;0; 
20190417;20190725;00FI;00;Samenw Basisschool Pork;9561CB;TER APEL;1950;Westerwolde;Groningen;Bo;Algemeen bijzonder;45000;25;0;0; ;0; ;0; ;0; ;24;385
20190417;20190725;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN; 716;Tholen;Zeeland;Bo;Algemeen bijzonder;30124;6;0;0; ;6;84,3333333333333;0; ;0; ;0; 
