BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM;ONDERWIJSTYPE VO;INSPECTIECODE;OPLEIDINGSNAAM;EXAMENKANDIDATEN SCHOOLJAAR 2014-2015 - MAN;GESLAAGDEN SCHOOLJAAR 2014-2015 - MAN;SLAAGPERC SCHOOLJAAR 2014-2015 - MAN;EXAMENKANDIDATEN SCHOOLJAAR 2014-2015 - VROUW;GESLAAGDEN SCHOOLJAAR 2014-2015 - VROUW;SLAAGPERC SCHOOLJAAR 2014-2015 - VROUW;EXAMENKANDIDATEN SCHOOLJAAR 2014-2015 - ONBEKEND;GESLAAGDEN SCHOOLJAAR 2014-2015 - ONBEKEND;SLAAGPERC SCHOOLJAAR 2014-2015 - ONBEKEND;EXAMENKANDIDATEN SCHOOLJAAR 2014-2015 - TOTAAL;GESLAAGDEN SCHOOLJAAR 2014-2015 - TOTAAL;SLAAGPERC SCHOOLJAAR 2014-2015 - TOTAAL;EXAMENKANDIDATEN SCHOOLJAAR 2015-2016 - MAN;GESLAAGDEN SCHOOLJAAR 2015-2016 - MAN;SLAAGPERC SCHOOLJAAR 2015-2016 - MAN;EXAMENKANDIDATEN SCHOOLJAAR 2015-2016 - VROUW;GESLAAGDEN SCHOOLJAAR 2015-2016 - VROUW;SLAAGPERC SCHOOLJAAR 2015-2016 - VROUW;EXAMENKANDIDATEN SCHOOLJAAR 2015-2016 - ONBEKEND;GESLAAGDEN SCHOOLJAAR 2015-2016 - ONBEKEND;SLAAGPERC SCHOOLJAAR 2015-2016 - ONBEKEND;EXAMENKANDIDATEN SCHOOLJAAR 2015-2016 - TOTAAL;GESLAAGDEN SCHOOLJAAR 2015-2016 - TOTAAL;SLAAGPERC SCHOOLJAAR 2015-2016 - TOTAAL;EXAMENKANDIDATEN SCHOOLJAAR 2016-2017 - MAN;GESLAAGDEN SCHOOLJAAR 2016-2017 - MAN;SLAAGPERC SCHOOLJAAR 2016-2017 - MAN;EXAMENKANDIDATEN SCHOOLJAAR 2016-2017 - VROUW;GESLAAGDEN SCHOOLJAAR 2016-2017 - VROUW;SLAAGPERC SCHOOLJAAR 2016-2017 - VROUW;EXAMENKANDIDATEN SCHOOLJAAR 2016-2017 - ONBEKEND;GESLAAGDEN SCHOOLJAAR 2016-2017 - ONBEKEND;SLAAGPERC SCHOOLJAAR 2016-2017 - ONBEKEND;EXAMENKANDIDATEN SCHOOLJAAR 2016-2017 - TOTAAL;GESLAAGDEN SCHOOLJAAR 2016-2017 - TOTAAL;SLAAGPERC SCHOOLJAAR 2016-2017 - TOTAAL;EXAMENKANDIDATEN SCHOOLJAAR 2017-2018 - MAN;GESLAAGDEN SCHOOLJAAR 2017-2018 - MAN;SLAAGPERC SCHOOLJAAR 2017-2018 - MAN;EXAMENKANDIDATEN SCHOOLJAAR 2017-2018 - VROUW;GESLAAGDEN SCHOOLJAAR 2017-2018 - VROUW;SLAAGPERC SCHOOLJAAR 2017-2018 - VROUW;EXAMENKANDIDATEN SCHOOLJAAR 2017-2018 - ONBEKEND;GESLAAGDEN SCHOOLJAAR 2017-2018 - ONBEKEND;SLAAGPERC SCHOOLJAAR 2017-2018 - ONBEKEND;EXAMENKANDIDATEN SCHOOLJAAR 2017-2018 - TOTAAL;GESLAAGDEN SCHOOLJAAR 2017-2018 - TOTAAL;SLAAGPERC SCHOOLJAAR 2017-2018 - TOTAAL;EXAMENKANDIDATEN SCHOOLJAAR 2018-2019 - MAN;GESLAAGDEN SCHOOLJAAR 2018-2019 - MAN;SLAAGPERC SCHOOLJAAR 2018-2019 - MAN;EXAMENKANDIDATEN SCHOOLJAAR 2018-2019 - VROUW;GESLAAGDEN SCHOOLJAAR 2018-2019 - VROUW;SLAAGPERC SCHOOLJAAR 2018-2019 - VROUW;EXAMENKANDIDATEN SCHOOLJAAR 2018-2019 - ONBEKEND;GESLAAGDEN SCHOOLJAAR 2018-2019 - ONBEKEND;SLAAGPERC SCHOOLJAAR 2018-2019 - ONBEKEND;EXAMENKANDIDATEN SCHOOLJAAR 2018-2019 - TOTAAL;GESLAAGDEN SCHOOLJAAR 2018-2019 - TOTAAL;SLAAGPERC SCHOOLJAAR 2018-2019 - TOTAAL
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;HAVO;50;HAVO - N&T;4;4;100,0%;2;2;100,0%;0;0;,0%;6;6;100,0%;3;3;100,0%;3;2;66,7%;0;0;,0%;6;5;83,3%;6;6;100,0%;1;1;100,0%;0;0;,0%;7;7;100,0%;3;2;66,7%;1;0;,0%;0;0;,0%;4;2;50,0%;6;5;83,3%;1;1;100,0%;0;0;,0%;7;6;85,7%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;HAVO;51;HAVO - N&G;10;7;70,0%;15;12;80,0%;0;0;,0%;25;19;76,0%;9;9;100,0%;15;14;93,3%;0;0;,0%;24;23;95,8%;17;10;58,8%;19;14;73,7%;0;0;,0%;36;24;66,7%;11;8;72,7%;22;15;68,2%;0;0;,0%;33;23;69,7%;14;14;100,0%;19;15;78,9%;0;0;,0%;33;29;87,9%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;HAVO;52;HAVO - E&M;20;14;70,0%;12;11;91,7%;0;0;,0%;32;25;78,1%;17;16;94,1%;17;16;94,1%;0;0;,0%;34;32;94,1%;13;8;61,5%;9;7;77,8%;0;0;,0%;22;15;68,2%;20;16;80,0%;18;16;88,9%;0;0;,0%;38;32;84,2%;17;17;100,0%;17;16;94,1%;0;0;,0%;34;33;97,1%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;HAVO;53;HAVO - C&M;1;1;100,0%;9;8;88,9%;0;0;,0%;10;9;90,0%;0;0;,0%;14;13;92,9%;0;0;,0%;14;13;92,9%;1;1;100,0%;7;6;85,7%;0;0;,0%;8;7;87,5%;1;1;100,0%;1;1;100,0%;0;0;,0%;2;2;100,0%;4;4;100,0%;3;2;66,7%;0;0;,0%;7;6;85,7%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;HAVO;54;HAVO - N&T / N&G;3;3;100,0%;9;7;77,8%;0;0;,0%;12;10;83,3%;12;9;75,0%;6;3;50,0%;0;0;,0%;18;12;66,7%;6;5;83,3%;8;6;75,0%;0;0;,0%;14;11;78,6%;6;6;100,0%;12;11;91,7%;0;0;,0%;18;17;94,4%;4;3;75,0%;5;5;100,0%;0;0;,0%;9;8;88,9%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;HAVO;59;HAVO - E&M / C&M;1;1;100,0%;2;1;50,0%;0;0;,0%;3;2;66,7%;2;2;100,0%;2;2;100,0%;0;0;,0%;4;4;100,0%;0;0;,0%;5;4;80,0%;0;0;,0%;5;4;80,0%;1;1;100,0%;4;3;75,0%;0;0;,0%;5;4;80,0%;1;1;100,0%;4;4;100,0%;0;0;,0%;5;5;100,0%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;VWO;60;VWO - N&T;9;9;100,0%;2;2;100,0%;0;0;,0%;11;11;100,0%;4;4;100,0%;0;0;,0%;0;0;,0%;4;4;100,0%;5;5;100,0%;2;2;100,0%;0;0;,0%;7;7;100,0%;5;5;100,0%;2;2;100,0%;0;0;,0%;7;7;100,0%;7;7;100,0%;0;0;,0%;0;0;,0%;7;7;100,0%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;VWO;61;VWO - N&G;6;5;83,3%;11;10;90,9%;0;0;,0%;17;15;88,2%;6;3;50,0%;13;10;76,9%;0;0;,0%;19;13;68,4%;3;1;33,3%;11;8;72,7%;0;0;,0%;14;9;64,3%;4;3;75,0%;11;10;90,9%;0;0;,0%;15;13;86,7%;7;7;100,0%;14;13;92,9%;0;0;,0%;21;20;95,2%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;VWO;62;VWO - E&M;3;3;100,0%;7;4;57,1%;0;0;,0%;10;7;70,0%;2;2;100,0%;3;3;100,0%;0;0;,0%;5;5;100,0%;2;2;100,0%;3;3;100,0%;0;0;,0%;5;5;100,0%;3;3;100,0%;6;6;100,0%;0;0;,0%;9;9;100,0%;9;9;100,0%;2;2;100,0%;0;0;,0%;11;11;100,0%
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;VWO;63;VWO - C&M;1;1;100,0%;3;2;66,7%;0;0;,0%;4;3;75,0%;0;0;,0%;3;2;66,7%;0;0;,0%;3;2;66,7%;0;0;,0%;0;0;,0%;0;0;,0%;0;0;,0%;0;0;,0%;1;1;100,0%;0;0;,0%;1;1;100,0%;0;0;,0%;4;4;100,0%;0;0;,0%;4;4;100,0%
