SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0131;ak;aardrijkskunde;;0;0;26;6,7;26;6,7;26;6,8;26;6,8;6,9;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0161;in;informatica;;0;0;14;6,9;0;,0;0;,0;0;,0;6,9;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0251;m&o;management en organisatie;;0;0;14;6,4;14;6,4;14;6,6;14;6,6;6,5;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0260;mu;muziek;;0;0;4;7,4;4;7,4;4;6,9;4;6,9;7,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0270;te;tekenen;;0;0;9;6,8;9;6,8;9;6,6;9;6,6;6,8;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;G;32;32;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;V;38;38;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1001;netl;Nederlandse taal en literatuur;;0;0;69;6,4;69;6,4;69;6,6;69;6,6;6,6;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1002;entl;Engelse taal en literatuur;;0;0;70;7,2;70;7,2;70;7,2;70;7,2;7,2;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1003;fatl;Franse taal en literatuur;;0;0;12;6,5;12;6,5;12;6,8;12;6,8;6,7;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1004;dutl;Duitse taal en literatuur;;0;0;42;6,7;42;6,7;42;6,5;42;6,5;6,6;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1018;biol;biologie;;0;0;41;6,5;41;6,5;41;6,0;41;6,0;6,3;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1019;maat;maatschappijleer;;0;0;68;7,3;0;,0;0;,0;0;,0;7,3;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1020;ckv;culturele en kunstzinnige vorming;G;22;22;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1020;ckv;culturele en kunstzinnige vorming;V;20;20;0;,0;0;,0;0;,0;0;,0;,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1021;ges;geschiedenis;;0;0;24;6,6;24;6,6;24;6,2;24;6,2;6,5;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1022;econ;economie;;0;0;29;6,7;29;6,7;29;6,5;29;6,5;6,6;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1023;nat;natuurkunde;;0;0;40;6,6;40;6,6;40;6,2;40;6,2;6,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1024;wisA;wiskunde A;;0;0;43;6,9;43;6,9;43;7,0;43;7,0;7,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1025;wisB;wiskunde B;;0;0;27;6,0;27;6,0;27;6,9;27;6,9;6,4;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1027;wisD;wiskunde D;;0;0;3;7,8;0;,0;0;,0;0;,0;8,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1028;schk;scheikunde;;0;0;47;6,3;47;6,3;47;5,8;47;5,8;6,1;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1032;kudr;kunst (drama);;0;0;6;7,8;6;7,8;6;6,5;6;6,5;7,2;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1035;nlt;natuur, leven en technologie;;0;0;5;7,2;0;,0;0;,0;0;,0;7,2;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1036;hndv;handvaardigheid;;0;0;5;6,9;5;6,9;5;7,0;5;7,0;7,0;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1038;bsm;bewegen, sport en maatschappij;;0;0;7;6,2;0;,0;0;,0;0;,0;6,3;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1050;lakc;Latijnse taal en literatuur met kcv;;0;0;20;6,7;20;6,7;20;6,5;20;6,5;6,6;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1051;grkc;Griekse taal en literatuur met kcv;;0;0;7;7,2;7;7,2;7;7,1;7;7,1;7,1;,0
2018;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1121;RT3F;rekentoets 3F;;0;0;0;,0;0;,0;0;,0;0;,0;,0;7,4
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0131;ak;aardrijkskunde;;0;0;8;7,1;8;7,1;8;6,8;8;6,8;6,9;,0
2018;00AH;07;locatie, Zuid;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0251;m&o;management en organisatie;;0;0;9;6,4;9;6,4;9;5,6;9;5,6;6,0;,0
