SAMENWERKINGSVERBAND_NUMMER;brin_nummer;vestigings_nummer;aantal_leerlingen;vsv_totaal;vsv_vmbo;vsv_mbo;vsv_overig
VO0001;00PG;00;1714;6;3;0;3
VO0001;00PG;02;694;1;1;0;0
VO0001;00PG;03;896;3;3;0;0
VO0001;00PG;04;722;2;1;0;1
VO0001;00WH;00;1205;2;1;0;1
VO0001;00WH;01;563;1;0;0;1
VO0001;01RL;00;1363;6;4;0;2
VO0001;01RL;01;610;0;0;0;0
VO0001;01RL;02;545;0;0;0;0
VO0001;02EA;00;2959;8;4;0;4
VO0001;02EA;02;565;4;4;0;0
VO0001;02EA;03;448;0;0;0;0
VO0001;03JY;00;1358;2;2;0;0
VO0001;03JY;01;408;1;1;0;0
VO0001;03JY;02;444;7;4;0;3
VO0001;03JY;03;345;0;0;0;0
VO0001;03JY;06;442;2;0;0;2
VO0001;03JY;07;87;0;0;0;0
VO0001;03WO;00;1132;1;0;0;1
VO0001;03WO;01;816;6;5;0;1
VO0001;03WO;02;1194;0;0;0;0
VO0001;03WO;03;842;1;0;0;1
VO0001;23VL;00;1718;2;2;0;0
VO0001;23VL;01;439;0;0;0;0
VO0001;23VL;02;516;0;0;0;0
VO0001;23VL;03;252;0;0;0;0
VO2001;01UH;00;1450;5;1;0;4
VO2001;02CR;00;720;1;0;0;1
VO2001;02UV;00;773;2;2;0;0
VO2001;02UV;08;377;0;0;0;0
VO2001;02UV;17;569;1;1;0;0
VO2001;02UV;18;356;0;0;0;0
VO2001;13ZU;00;1001;2;0;0;2
VO2001;13ZU;02;589;4;0;0;4
VO2001;13ZU;03;92;0;0;0;0
VO2001;14RP;00;815;2;2;0;0
VO2001;14RP;01;1169;7;2;0;5
VO2001;14RP;02;196;0;0;0;0
VO2001;14RP;03;528;6;4;0;2
VO2001;16NK;01;659;0;0;0;0
VO2001;20BV;00;974;1;0;0;1
VO2001;20EM;00;1192;2;1;0;1
VO2001;20EM;01;62;2;1;0;1
VO2001;20EM;03;607;5;0;0;5
VO2001;20EM;04;420;8;8;0;0
VO2001;20ER;00;686;0;0;0;0
VO2001;20ER;01;464;4;1;0;3
VO2001;20ER;04;1252;4;2;0;2
VO2001;20ER;05;523;0;0;0;0
VO2001;20ER;06;166;3;2;0;1
VO2001;20ER;08;302;6;2;0;4
VO2001;20ER;09;236;1;0;0;1
VO2002;25LW;82;247;1;0;0;1
VO2002;00DI;00;611;0;0;0;0
VO2002;00DI;01;372;0;0;0;0
VO2002;00DI;02;1253;1;0;0;1
VO2002;00DI;03;217;0;0;0;0
VO2002;00DI;04;4;0;0;0;0
VO2002;00ZV;05;241;0;0;0;0
VO2002;01NJ;01;558;1;0;0;1
VO2002;01NJ;02;458;0;0;0;0
VO2002;02UV;02;204;1;0;0;1
VO2002;02VJ;00;768;2;1;0;1
VO2002;02VJ;01;508;10;7;0;3
VO2002;02VJ;02;196;3;2;0;1
VO2002;02VJ;03;631;2;2;0;0
VO2002;02VJ;06;250;0;0;0;0
VO2002;02VJ;07;163;0;0;0;0
VO2002;02VJ;08;442;1;0;0;1
VO2002;14RP;04;249;0;0;0;0
VO2002;14RP;05;340;0;0;0;0
VO2002;16PI;00;872;1;0;0;1
VO2002;16PI;01;848;2;1;0;1
VO2002;16PI;02;2;0;0;0;0
VO2002;16PI;03;209;3;1;0;2
VO2002;16ZK;00;741;0;0;0;0
VO2002;16ZK;01;191;1;0;0;1
VO2002;16ZK;02;419;1;1;0;0
VO2002;20CM;00;1473;4;1;0;3
VO2002;20CM;01;302;1;1;0;0
VO2002;20CM;03;146;1;0;0;1
VO2002;20CM;07;370;0;0;0;0
VO2002;20CM;09;287;3;2;0;1
VO2002;20CM;10;6;0;0;0;0
VO2002;20LO;01;227;1;1;0;0
VO2002;25GM;00;1319;1;1;0;0
VO2002;25GM;02;1;0;0;0;0
VO2002;25LW;00;23;0;0;0;0
VO2002;30PP;00;755;5;4;0;1
VO2002;30PP;01;162;0;0;0;0
VO2002;30PP;02;101;0;0;0;0
VO2002;30PP;04;1023;6;3;0;3
VO2101;20DL;20;37;0;0;0;0
VO2101;00ZV;02;283;0;0;0;0
VO2101;00ZX;00;480;0;0;0;0
VO2101;00ZX;02;356;0;0;0;0
VO2101;00ZX;03;437;0;0;0;0
VO2101;00ZX;04;209;0;0;0;0
VO2101;00ZX;08;456;0;0;0;0
VO2101;01BE;00;358;1;1;0;0
VO2101;01KL;09;209;2;0;0;2
VO2101;02UV;04;205;0;0;0;0
VO2101;02VC;00;1401;2;0;0;2
VO2101;02VC;02;504;1;0;0;1
VO2101;02VC;03;465;0;0;0;0
VO2101;02VC;08;65;0;0;0;0
VO2101;02XE;00;438;0;0;0;0
VO2101;02XQ;00;38;0;0;0;0
VO2101;12VI;13;549;2;0;0;2
VO2101;14DC;00;993;2;1;0;1
VO2101;14DC;02;193;0;0;0;0
VO2101;14DC;04;195;1;0;0;1
VO2101;14FW;05;263;0;0;0;0
VO2101;14NS;00;1161;2;2;0;0
VO2101;14WI;00;535;0;0;0;0
VO2101;19EO;00;34;0;0;0;0
VO2101;19ET;00;149;0;0;0;0
VO2101;19HY;00;166;0;0;0;0
VO2101;20DL;00;969;3;0;0;3
VO2101;20DL;01;129;1;0;0;1
VO2101;20DL;02;597;0;0;0;0
VO2101;20DL;03;566;1;1;0;0
VO2101;20DL;04;568;0;0;0;0
VO2101;20DL;06;324;2;2;0;0
VO2101;20DL;10;257;0;0;0;0
VO2101;20DL;11;130;0;0;0;0
VO2101;20DL;12;206;2;1;0;1
VO2101;20DL;13;14;0;0;0;0
VO2101;20DL;16;80;10;0;0;10
VO2102;00ZV;00;1131;3;2;0;1
VO2102;01NJ;12;288;2;2;0;0
VO2102;01WM;00;752;3;1;0;2
VO2102;02UV;03;311;1;1;0;0
VO2102;04YE;00;1167;4;2;0;2
VO2102;04YE;01;396;2;0;0;2
VO2102;04YE;02;519;1;1;0;0
VO2102;04YE;03;1364;0;0;0;0
VO2102;04YE;08;33;14;0;0;14
VO2102;05AC;00;419;3;1;0;2
VO2102;12VI;01;384;0;0;0;0
VO2102;12VI;08;336;1;1;0;0
VO2102;14FW;00;1135;2;0;0;2
VO2102;14FW;01;597;0;0;0;0
VO2102;14FW;02;367;1;1;0;0
VO2102;14FW;04;301;0;0;0;0
VO2102;15VQ;00;1478;6;2;0;4
VO2102;19LO;00;1392;3;2;0;1
VO2102;25CM;00;942;4;2;0;2
VO2102;25CM;04;958;1;0;0;1
VO2102;25CM;07;787;1;0;0;1
VO2102;25CM;08;235;0;0;0;0
VO2102;25CV;00;635;2;0;0;2
VO2102;25CV;01;622;0;0;0;0
VO2102;25CV;02;332;1;1;0;0
VO2102;25CV;03;447;0;0;0;0
VO2102;30UV;00;159;0;0;0;0
VO2103;00ZH;00;244;0;0;0;0
VO2103;12VI;02;514;5;0;0;5
VO2103;16FP;00;2020;4;2;0;2
VO2103;25CR;00;1273;1;0;0;1
VO2103;25CR;03;676;2;1;0;1
VO2103;25CR;07;276;0;0;0;0
VO2103;25CR;08;134;0;0;0;0
VO2103;25CR;10;67;0;0;0;0
VO2103;25GB;00;1080;1;0;0;1
VO2103;25GB;02;314;0;0;0;0
VO2201;01NJ;08;848;2;2;0;0
VO2201;01NJ;09;478;0;0;0;0
VO2201;02EB;00;1366;2;1;0;1
VO2201;02EB;04;756;3;3;0;0
VO2201;02EB;06;3;2;0;0;2
VO2201;02EB;07;608;1;1;0;0
VO2201;02UV;05;236;0;0;0;0
VO2201;20LO;00;1520;1;0;0;1
VO2201;20LO;02;225;0;0;0;0
VO2201;20LO;03;308;1;0;0;1
VO2201;20LO;04;906;12;4;0;8
VO2202;00PF;00;1620;8;3;0;5
VO2202;01NJ;10;653;1;0;0;1
VO2202;12IR;00;1576;3;2;0;1
VO2202;16IH;00;1041;4;3;0;1
VO2202;16IH;03;14;7;0;0;7
VO2202;16VP;00;2043;18;6;0;12
VO2202;20LA;00;1142;2;1;0;1
VO2202;20LA;02;510;1;1;0;0
VO2202;20LA;03;587;1;1;0;0
VO2202;20LA;05;415;8;4;1;3
VO2202;20LA;06;196;1;0;0;1
VO2202;20LA;07;256;0;0;0;0
VO2202;20LA;15;374;2;0;0;2
VO2203;01NJ;11;781;4;2;0;2
VO2203;02VA;00;1381;2;1;0;1
VO2203;02VA;02;668;2;1;0;1
VO2203;02VA;04;7;0;0;0;0
VO2203;03XM;00;1328;7;3;0;4
VO2203;16GZ;00;1369;3;2;0;1
VO2203;16GZ;01;139;5;3;2;0
VO2203;17VS;04;508;1;1;0;0
VO2203;19IW;00;1801;10;4;0;6
VO2203;23WU;00;583;3;0;0;3
VO2203;25CL;00;1148;5;1;0;4
VO2203;25CL;01;562;4;1;0;3
VO2203;25CL;03;234;0;0;0;0
VO2301;01IC;15;672;11;9;0;2
VO2301;02DO;00;1519;5;0;0;5
VO2301;02DO;01;624;2;2;0;0
VO2301;02DO;02;637;1;0;0;1
VO2301;02DO;03;540;0;0;0;0
VO2301;02EK;00;726;1;0;0;1
VO2301;02EK;01;424;2;2;0;0
VO2301;02EK;02;395;1;0;0;1
VO2301;02XJ;00;1176;2;0;0;2
VO2301;02XJ;01;593;1;0;0;1
VO2301;02XJ;02;1093;4;2;0;2
VO2301;04HR;00;1099;0;0;0;0
VO2301;04HR;04;669;10;3;0;7
VO2301;16VI;00;1038;2;1;0;1
VO2301;16VI;01;806;0;0;0;0
VO2301;19FF;00;1878;3;0;0;3
VO2301;29WG;00;437;2;0;0;2
VO2302;00AH;00;1059;4;0;0;4
VO2302;00AH;07;863;5;1;0;4
VO2302;00AH;08;237;1;0;0;1
VO2302;00AH;09;99;0;0;0;0
VO2302;00AH;11;52;3;0;0;3
VO2302;00AH;17;743;4;2;0;2
VO2302;01IC;11;592;4;1;1;2
VO2302;05AV;00;1294;3;3;0;0
VO2302;05AV;01;1326;4;0;0;4
VO2302;05AV;02;1307;3;0;0;3
VO2302;05AV;03;663;2;0;0;2
VO2302;05AV;04;318;0;0;0;0
VO2302;17VN;01;452;1;1;0;0
VO2302;17VN;05;1629;1;0;0;1
VO2302;17VN;06;1093;1;0;0;1
VO2302;17VN;07;148;3;1;0;2
VO2302;17VN;09;838;10;7;0;3
VO2302;17VS;02;148;0;0;0;0
VO2302;18CR;00;1122;5;0;0;5
VO2302;18CR;01;387;2;0;0;2
VO2302;18CR;02;579;0;0;0;0
VO2302;18CR;05;145;1;0;0;1
VO2302;19FF;04;420;0;0;0;0
VO2302;19HG;02;188;0;0;0;0
VO2302;19HG;03;31;0;0;0;0
VO2302;19HG;04;360;0;0;0;0
VO2302;19HG;06;176;1;0;0;1
VO2302;19HG;07;961;2;0;0;2
VO2302;19HG;08;135;0;0;0;0
VO2302;19HG;09;81;1;1;0;0
VO2302;19HG;10;154;0;0;0;0
VO2302;20CS;00;847;2;0;0;2
VO2302;20CS;04;311;2;2;0;0
VO2302;20CS;07;1372;4;2;0;2
VO2303;01VJ;00;965;7;6;0;1
VO2303;01VJ;01;912;0;0;0;0
VO2303;01VJ;03;1260;1;0;0;1
VO2303;01VJ;04;1327;3;1;0;2
VO2303;01VJ;05;318;7;4;0;3
VO2303;01VJ;10;6;1;0;0;1
VO2305;00MP;02;52;2;2;0;0
VO2305;00MP;00;1012;1;1;0;0
VO2305;01AA;57;636;2;0;0;2
VO2305;01AA;58;94;1;1;0;0
VO2305;01AA;59;217;1;1;0;0
VO2305;01AA;60;53;8;0;0;8
VO2305;01AA;61;450;3;0;0;3
VO2305;01XN;00;573;1;0;0;1
VO2305;01XN;01;1111;6;2;0;4
VO2305;01XN;02;155;1;1;0;0
VO2305;02VB;00;814;1;1;0;0
VO2305;02VB;01;314;1;0;0;1
VO2305;02VB;02;1174;1;1;0;0
VO2305;02VB;03;130;0;0;0;0
VO2305;02VB;07;427;2;2;0;0
VO2305;02VT;00;1812;3;0;0;3
VO2305;02VT;01;660;1;0;0;1
VO2305;02VT;02;559;8;5;0;3
VO2305;02VT;04;187;0;0;0;0
VO2305;02VT;05;999;3;0;0;3
VO2305;02VT;06;359;2;0;0;2
VO2305;04OY;00;1279;1;1;0;0
VO2305;04OY;02;1579;3;1;0;2
VO2305;13US;00;446;2;1;0;1
VO2305;17BZ;00;1122;3;2;0;1
VO2305;17BZ;02;445;2;1;0;1
VO2305;17VS;00;2107;4;1;0;3
VO2305;20CF;00;575;0;0;0;0
VO2305;20CF;01;258;1;0;0;1
VO2305;20DB;00;1676;6;2;0;4
VO2305;20DB;03;592;4;3;0;1
VO2307;02UX;00;1906;4;4;0;0
VO2307;02UX;01;580;4;2;0;2
VO2307;02UX;06;1277;3;1;0;2
VO2307;12IR;05;309;1;1;0;0
VO2307;17BZ;04;444;3;1;0;2
VO2307;17VS;03;856;2;1;0;1
VO2401;01FP;00;495;7;1;2;4
VO2401;01FP;01;734;2;1;0;1
VO2401;01FP;04;592;0;0;0;0
VO2401;01FP;05;360;0;0;0;0
VO2401;01FP;06;44;0;0;0;0
VO2401;16AW;00;1411;17;10;1;6
VO2401;16AW;01;1725;10;6;0;4
VO2401;16AW;06;39;2;0;0;2
VO2401;17DN;00;1534;12;4;1;7
VO2401;17DN;01;813;10;8;0;2
VO2401;24RW;00;2204;11;3;1;7
VO2401;24RW;03;1251;5;2;0;3
VO2401;24RW;04;539;4;2;0;2
VO2401;27VD;00;750;3;1;1;1
VO2402;02JG;00;1020;4;1;0;3
VO2402;02JG;04;316;4;4;0;0
VO2402;02JG;05;223;0;0;0;0
VO2402;02KR;00;472;1;1;0;0
VO2402;18XX;00;381;1;1;0;0
VO2402;20CR;00;1096;2;1;0;1
VO2402;20CR;01;182;7;0;0;7
VO2402;20CR;03;412;3;2;0;1
VO2402;25GV;01;339;0;0;0;0
VO2403;00ZO;00;988;6;2;0;4
VO2403;18DQ;00;1648;18;9;0;9
VO2403;18GC;00;1174;1;0;0;1
VO2403;25GV;07;323;1;1;0;0
VO2501;02FC;04;305;1;1;0;0
VO2501;02FC;07;142;0;0;0;0
VO2501;02VN;00;958;1;0;0;1
VO2501;02VN;01;1077;3;3;0;0
VO2501;02VS;00;1657;4;3;0;1
VO2501;08LP;00;1753;2;1;0;1
VO2501;16NK;00;1155;6;2;0;4
VO2501;20DH;00;818;0;0;0;0
VO2501;20DH;06;296;3;2;0;1
VO2501;20DH;08;41;2;0;0;2
VO2502;00LJ;00;933;0;0;0;0
VO2502;00LJ;01;149;0;0;0;0
VO2502;00LJ;02;230;0;0;0;0
VO2502;00LJ;05;482;0;0;0;0
VO2502;01IC;02;376;1;1;0;0
VO2502;02QN;00;1119;0;0;0;0
VO2502;02QN;02;744;0;0;0;0
VO2502;05FB;00;1043;3;0;0;3
VO2502;05FB;01;353;0;0;0;0
VO2502;05FB;02;258;0;0;0;0
VO2502;05FB;06;451;1;0;0;1
VO2502;05FB;07;524;0;0;0;0
VO2502;17AA;00;1365;1;1;0;0
VO2502;17AA;03;18;1;0;0;1
VO2502;24TF;00;1467;3;2;0;1
VO2502;24TF;01;353;0;0;0;0
VO2502;24TF;02;164;0;0;0;0
VO2503;01IC;01;608;8;8;0;0
VO2503;01IC;18;230;1;0;0;1
VO2503;02FC;00;1461;2;0;0;2
VO2503;02NZ;00;1142;1;1;0;0
VO2503;02NZ;01;1182;8;3;0;5
VO2503;02NZ;09;739;1;0;0;1
VO2503;14UM;00;1019;2;0;0;2
VO2503;14UM;01;528;3;2;0;1
VO2503;14UM;02;776;3;2;0;1
VO2503;20AD;00;1251;2;1;0;1
VO2504;03RR;00;1118;5;3;0;2
VO2504;03RR;04;944;1;0;0;1
VO2504;03RR;07;176;0;0;0;0
VO2504;16SK;00;954;3;1;0;2
VO2504;16SK;01;570;0;0;0;0
VO2504;16SK;05;609;4;2;0;2
VO2504;16SK;07;916;0;0;0;0
VO2505;01IC;05;770;2;0;0;2
VO2505;02RA;00;1516;1;0;0;1
VO2505;02RA;01;1183;9;8;0;1
VO2505;02RA;02;1019;2;1;0;1
VO2505;02RA;03;313;0;0;0;0
VO2505;08SG;00;1316;1;0;0;1
VO2505;08SG;01;705;6;3;0;3
VO2505;08SG;06;1185;3;1;0;2
VO2505;13JO;00;1109;1;1;0;0
VO2505;20KQ;00;1126;1;1;0;0
VO2505;20KQ;04;949;10;7;0;3
VO2505;20QU;00;629;0;0;0;0
VO2506;00JT;03;120;0;0;0;0
VO2506;00TM;00;1080;2;1;0;1
VO2506;00TQ;00;132;8;2;0;6
VO2506;02SY;00;1152;4;2;0;2
VO2506;05FF;00;1282;13;5;0;8
VO2506;07PK;00;1316;6;0;0;6
VO2506;07PK;04;49;0;0;0;0
VO2506;07PK;05;276;9;7;0;2
VO2506;07PK;07;485;1;1;0;0
VO2506;17IM;00;1395;2;1;0;1
VO2506;17IM;01;309;0;0;0;0
VO2506;17IM;02;790;5;3;0;2
VO2506;17IM;04;446;1;1;0;0
VO2506;17IM;05;303;1;1;0;0
VO2506;20RM;00;1088;0;0;0;0
VO2506;20TZ;00;977;2;1;0;1
VO2506;20TZ;04;365;5;4;0;1
VO2506;20TZ;07;543;6;4;0;2
VO2506;20TZ;11;524;1;0;0;1
VO2506;25GL;00;1221;2;0;0;2
VO2506;25GL;04;713;19;5;0;14
VO2506;25GL;06;747;4;3;1;0
VO2506;25GV;10;364;1;0;0;1
VO2507;00CB;00;761;6;2;0;4
VO2507;00OB;00;1389;1;0;0;1
VO2507;00OB;03;1001;5;5;0;0
VO2507;00RZ;00;1510;9;6;0;3
VO2507;00RZ;01;292;3;1;0;2
VO2507;01VN;00;1400;5;2;0;3
VO2507;01VN;03;88;10;0;0;10
VO2507;01VN;04;504;5;3;0;2
VO2507;02QQ;00;562;0;0;0;0
VO2507;02ST;00;1512;3;3;0;0
VO2507;02ST;03;441;12;10;0;2
VO2507;02ST;04;246;0;0;0;0
VO2507;02ST;05;141;2;1;0;1
VO2507;02VE;00;1611;2;1;0;1
VO2507;14NQ;00;1077;4;0;0;4
VO2507;16SW;00;941;0;0;0;0
VO2507;16SW;03;996;2;1;0;1
VO2507;16SW;05;336;0;0;0;0
VO2507;17HN;00;1673;2;2;0;0
VO2507;17HN;02;481;0;0;0;0
VO2507;17IR;00;1247;6;5;0;1
VO2507;17IR;01;311;0;0;0;0
VO2507;17IR;02;558;0;0;0;0
VO2507;19RX;00;911;5;2;0;3
VO2507;19RX;01;750;4;4;0;0
VO2507;19RX;02;449;1;1;0;0
VO2507;19RX;03;173;0;0;0;0
VO2507;20CI;00;1318;2;0;0;2
VO2507;20EO;00;1348;5;2;0;3
VO2507;21SK;00;941;1;0;0;1
VO2507;21SK;01;763;5;2;0;3
VO2507;26CC;06;484;4;3;0;1
VO2507;26JR;00;1;0;0;0;0
VO2507;30AU;00;376;0;0;0;0
VO2507;30AU;01;856;2;1;0;1
VO2507;30MM;00;1;0;0;0;0
VO2508;16YV;04;258;0;0;0;0
VO2508;19EW;00;911;0;0;0;0
VO2508;19EW;01;560;3;3;0;0
VO2508;19EW;03;619;2;0;0;2
VO2508;19EW;04;509;1;0;0;1
VO2508;19EW;05;1288;2;2;0;0
VO2508;19QA;00;1299;4;2;0;2
VO2508;19QA;04;222;1;1;0;0
VO2508;23HC;00;1056;12;11;0;1
VO2508;23HC;01;1761;3;1;0;2
VO2508;23HC;02;4;0;0;0;0
VO2508;26CC;05;295;2;0;1;1
VO2509;00WI;00;2449;6;3;0;3
VO2509;00WI;04;466;2;2;0;0
VO2509;01FU;00;983;3;2;0;1
VO2509;01FU;01;985;2;1;0;1
VO2509;01FU;04;410;1;0;0;1
VO2509;02DC;00;1011;6;4;0;2
VO2509;02DC;03;738;2;0;0;2
VO2509;02EX;00;518;9;1;0;8
VO2509;02EX;04;67;0;0;0;0
VO2509;02EX;05;296;1;0;0;1
VO2509;02FB;00;1212;2;0;0;2
VO2509;17BZ;03;227;0;0;0;0
VO2509;17CK;00;1759;4;3;0;1
VO2509;17CK;01;633;2;2;0;0
VO2509;25GV;09;399;2;1;1;0
VO2510;02UP;00;1012;9;2;0;7
VO2510;02UP;01;587;2;0;0;2
VO2510;16YV;00;1617;9;2;0;7
VO2510;16YV;01;325;5;4;0;1
VO2510;16YV;02;304;2;1;0;1
VO2510;19IP;01;206;2;2;0;0
VO2510;19KZ;00;1080;1;0;0;1
VO2510;25GE;00;1502;5;5;0;0
VO2510;25GE;02;721;3;1;0;2
VO2510;25GV;05;431;0;0;0;0
VO2511;00SZ;00;2420;5;3;0;2
VO2511;01MU;00;1910;9;8;0;1
VO2511;02MF;00;1052;7;5;0;2
VO2511;02VM;00;2029;3;3;0;0
VO2511;06SU;00;2019;8;5;0;3
VO2511;19IP;00;1050;1;0;0;1
